Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
74;276;Zebra Technologies;Chicago;USA;North America;700.0;2023-08-28;7.0;10000.0;9300.0;Manufacturing;Post-IPO;;2023;41.85003;-87.65005
75;283;Captiv8;San Francisco Bay Area;USA;North America;8.0;2023-08-24;3.0;267.0;259.0;Marketing;Unknown;$4;2023;37.56299;-122.32553
76;285;Atlas;Chicago;USA;North America;150.0;2023-08-23;30.0;500.0;350.0;HR;Series B;$220;2023;41.85003;-87.65005
77;286;Veriff;Tallinn;Estonia;Europe;101.0;2023-08-23;21.0;481.0;380.0;Security;Series C;$192;2023;59.43696;24.75353
78;287;BlackLine;Los Angeles;USA;North America;95.0;2023-08-23;5.0;1900.0;1805.0;Finance;Post-IPO;$220;2023;34.05223;-118.24368
79;291;Getir;London;United Kingdom;Europe;2500.0;2023-08-22;11.0;22727.0;20227.0;Food;Series E;$1800;2023;51.50853;-0.12574
80;298;Twiga;Nairobi;Kenya;Africa;283.0;2023-08-20;33.0;858.0;575.0;Food;Series C;$157;2023;-1.28333;36.81667
81;305;AppFolio;Santa Barbara;USA;North America;149.0;2023-08-17;9.0;1656.0;1507.0;Real Estate;Post-IPO;$30;2023;34.42083;-119.69819
82;307;StreamElements;Tel Aviv;Israel;Asia;60.0;2023-08-17;35.0;171.0;111.0;Media;Series B;$111;2023;32.08088;34.78057
83;311;SecureWorks;Atlanta;USA;North America;300.0;2023-08-14;15.0;2000.0;1700.0;Security;Post-IPO;$83;2023;33.749;-84.38798
84;320;Blend;San Francisco Bay Area;USA;North America;150.0;2023-08-09;19.0;789.0;639.0;Finance;Post-IPO;$665;2023;37.77493;-122.41942
85;323;Dealtale;Tel Aviv;Israel;Asia;70.0;2023-08-09;100.0;70.0;0.0;Sales;Acquired;$2;2023;32.08088;34.78057
86;328;Thoughtworks;Chicago;USA;North America;579.0;2023-08-08;5.0;11580.0;11001.0;Other;Post-IPO;$748;2023;41.85003;-87.65005
87;329;Rapid7;Boston;USA;North America;470.0;2023-08-08;18.0;2611.0;2141.0;Security;Post-IPO;$89;2023;42.35843;-71.05977
88;331;Doximity;San Francisco Bay Area;USA;North America;100.0;2023-08-08;10.0;1000.0;900.0;Healthcare;Post-IPO;$82;2023;37.77493;-122.41942
89;332;23andMe;San Francisco Bay Area;USA;North America;71.0;2023-08-08;11.0;645.0;574.0;Healthcare;Post-IPO;$1100;2023;37.77493;-122.41942
90;339;Top Hat;Toronto;Canada;North America;42.0;2023-08-04;7.0;600.0;558.0;Education;Series E;$234;2023;43.70643;-79.39864
91;342;Discord;San Francisco Bay Area;USA;North America;37.0;2023-08-03;4.0;925.0;888.0;Consumer;Series H;;2023;37.77493;-122.41942
92;347;Spinny;Gurugram;India;Asia;300.0;2023-08-02;5.0;6000.0;5700.0;Transportation;Series E;$513;2023;28.4601;77.02635
93;348;Tekion;Bengaluru;India;Asia;300.0;2023-08-02;10.0;3000.0;2700.0;Other;Series D;$435;2023;12.97194;77.59369
94;349;BetterUp;San Francisco Bay Area;USA;North America;100.0;2023-08-02;16.0;625.0;525.0;HR;Series E;$567;2023;37.77493;-122.41942
95;350;Augury;New York City;USA;North America;70.0;2023-08-02;18.0;389.0;319.0;Manufacturing;Series E;$274;2023;40.71427;-74.00597
96;352;Gupy;Sao Paulo;Brazil;South America;58.0;2023-08-02;8.0;725.0;667.0;HR;Series B;$105;2023;-23.5475;-46.63611
