Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,130,138,121,118,93,106,79,86,110,126,109,123
2021,169,111,107,127,152,174,202,220,201,205,216,245
2022,233,259,262,273,247,254,238,200,218,211,221,81
2023,100,154,145,148,157,156,156,148,99,100,147,143
2024,152,137,144,95,128,107,115,135,121,188,122,106
